"id","name","acronym","uacs_code","prexc_program_id","title","organizational_outcome","objective_statement","program_strategy","outcome_indicators","output_indicators","created_at","updated_at","deleted_at"
"54","Coastal and inland fisheries resource management",NULL,"310200100004000","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55","AGRICULTURAL MACHINERY, EQUIPMENT, AND FACILITIES SUPPORT SERVICES SUB-PROGRAM",NULL,"310201000000000","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56","IRRIGATION NETWORK SERVICES (INS) SUB-PROGRAM",NULL,"310202000000000","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"57","FARM-TO-MARKET ROADS (FMR) SUB-PROGRAM",NULL,"310203000000000","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"58","Formulation, monitoring and evaluation of agricultural and fishery policies, plans and programs",NULL,"310300100001000","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59","Extension Support, Education and Training Services (ESETS)",NULL,"310300100001000","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"60","Agriculture and fishery standards",NULL,"310400100002000","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","Quarantine services",NULL,"310400100003000","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62","Meat establishment and meat inspection assistance to LGUs services",NULL,"320100100001000","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"63","AGRICULTURAL MECHANIZATION AND POSTHARVEST RESEARCH, DEVELOPMENT AND EXTENSION PROGRAM","AMPRDEP","310100000000000","19",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-06 15:04:44","2020-11-06 15:04:44",NULL
"64","DAIRY INDUSTRY DEVELOPMENT PROGRAM","DAIRY INDUSTRY DEVELOPMENT PROGRAM","310100000000000","40",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-08 16:51:52","2020-11-08 16:51:52",NULL
